agent_id,agent_file,agent_title,mode,target,status,prompt_path,files_inspected,files_changed,verification,notes
00,00-chapter-lead.md,00-chapter-lead,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\00-chapter-lead.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-00-00-chapter-lead.md
01,01-curriculum-alignment.md,01-curriculum-alignment,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\01-curriculum-alignment.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-01-01-curriculum-alignment.md
02,02-deep-explanation.md,02-deep-explanation,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\02-deep-explanation.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-02-02-deep-explanation.md
03,03-teaching-flow.md,03-teaching-flow,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\03-teaching-flow.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-03-03-teaching-flow.md
04,04-student-advocate.md,04-student-advocate,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\04-student-advocate.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-04-04-student-advocate.md
05,05-cognitive-load.md,05-cognitive-load,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\05-cognitive-load.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-05-05-cognitive-load.md
06,06-example-analogy.md,06-example-analogy,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\06-example-analogy.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,285,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-06-06-example-analogy.md
07,07-exercise-designer.md,07-exercise-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\07-exercise-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-07-07-exercise-designer.md
08,08-code-pedagogy.md,08-code-pedagogy,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\08-code-pedagogy.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-08-08-code-pedagogy.md
09,09-visual-learning.md,09-visual-learning,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\09-visual-learning.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-09-09-visual-learning.md
